date,region,district,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice,year,month
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,cereals and tubers,Maize (white),KG,actual,Retail,TZS,734.1,0.3446,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1033.3,0.485,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,cereals and tubers,Rice,KG,actual,Retail,TZS,1788.9,0.8397,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,1950.0,0.9153,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,pulses and nuts,Beans (green),KG,actual,Retail,TZS,2778.0,1.304,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,1725.0,0.8097,2016,1
2016-01-15,Kigoma,Kasulu,Kigoma Region,-4.764451844,30.40280696,pulses and nuts,Soybeans,KG,actual,Retail,TZS,3125.0,1.4669,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,cereals and tubers,Maize (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,cereals and tubers,Maize flour (white),KG,actual,Retail,TZS,1000.0,0.4694,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,cereals and tubers,Rice,KG,actual,Retail,TZS,1877.8,0.8814,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,pulses and nuts,Beans (dry),KG,actual,Retail,TZS,2200.0,1.0327,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,pulses and nuts,Beans (green),KG,actual,Retail,TZS,1579.5,0.7414,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,pulses and nuts,Beans (spotted),KG,actual,Retail,TZS,2000.0,0.9388,2016,1
2016-01-15,Kilimanjaro,Mwanga,Kilimanjaro Region,-3.762672355,37.64042044,pulses and nuts,Soybeans,KG,actual,Retail,TZS,2000.0,0.9388,2016,1
